term,chamber,data_name,sponsor,party,district,roster_id,roster_id_col,LES,BILL_wshare,AIC_wshare,ABC_wshare,PASS_wshare,LAW_wshare,all_bills,all_aic,all_abc,all_pass,all_law,ss_bills,ss_aic,ss_abc,ss_pass,ss_law,s_bills,s_aic,s_abc,s_pass,s_law,c_bills,c_aic,c_abc,c_pass,c_law,num_sponsored_bills,sponsor_pass_rate,sponsor_law_rate,num_cosponsored_bills,LES_rank,LES_nw
2021_2022,House,l. herod,Leslie Herod,D,HD-008,18721,legiscan_id,3.800365488434009,0.04951752158456069,0.04951752158456069,0.06061548026111284,0.06099468251485768,0.0629641588634162,37,37,37,37,37,2,2,2,2,2,35,35,35,35,35,0,0,0,0,0,37,1.0,1.0,,2,3.8260323426445653
2021_2022,House,j. mccluskie,Julie McCluskie,D,HD-061,20025,legiscan_id,3.9952560263024193,0.05205688166582021,0.05205688166582021,0.06372396642834939,0.06412261495151705,0.06619309008718115,40,40,40,40,40,1,1,1,1,1,39,39,39,39,39,0,0,0,0,0,40,1.0,1.0,,1,4.136251181237369
2021_2022,House,m. bradfield,Mary Bradfield,R,HD-021,22222,legiscan_id,0.42844550715812646,0.008887760284408328,0.008887760284408328,0.0046627292508548334,0.0046918986549890525,0.004843396835647401,7,7,3,3,3,0,0,0,0,0,7,7,3,3,3,0,0,0,0,0,7,0.42857142857142855,0.42857142857142855,,57,0.45353434661419295
2021_2022,House,d. esgar,Daneya Esgar,D,HD-046,16570,legiscan_id,1.4616790340130803,0.01904520060944642,0.01904520060944642,0.023313646254274168,0.023459493274945262,0.024216984178237002,14,14,14,14,14,1,1,1,1,1,13,13,13,13,13,0,0,0,0,0,14,1.0,1.0,,12,1.4476879134330787
2021_2022,House,s. gonzales-gutierrez,Serena Gonzales-Gutierrez,D,HD-004,20134,legiscan_id,1.320966086680425,0.017775520568816656,0.017775520568816656,0.021759403170655892,0.021895527056615578,0.019373587342589604,13,13,13,13,12,1,1,1,1,0,12,12,12,12,12,0,0,0,0,0,13,1.0,0.9230769230769231,,17,1.3212970712949403
2021_2022,House,s. bird,Shannon Bird,D,HD-035,20127,legiscan_id,2.00375966109347,0.026663280853224988,0.026663280853224988,0.03263910475598383,0.03127932436659368,0.03228931223764934,20,20,20,19,19,1,1,1,1,1,19,19,19,18,18,0,0,0,0,0,20,0.95,0.95,,3,2.02277041031532
2021_2022,House,j. amabile,Judith Amabile,D,HD-013,22219,legiscan_id,1.2667884961446698,0.016505840528186898,0.016505840528186898,0.020205160087037613,0.020331560838285894,0.02098805295447207,12,12,12,12,12,1,1,1,1,1,11,11,11,11,11,0,0,0,0,0,12,1.0,1.0,,22,1.2408753543712103
2021_2022,House,j. bacon,Jennifer Bacon,D,HD-007,22220,legiscan_id,0.716144307628315,0.01015744032503809,0.01015744032503809,0.010879701585327946,0.010947763528307789,0.011301259283177269,8,8,7,7,7,0,0,0,0,0,8,8,7,7,7,0,0,0,0,0,8,0.875,0.875,,41,0.759672833721887
2021_2022,House,a. benavidez,Adrienne Benavidez,D,HD-032,18710,legiscan_id,1.4106547760574049,0.02031488065007618,0.02031488065007618,0.021759403170655892,0.021895527056615578,0.02098805295447207,15,15,13,13,12,1,1,1,1,1,14,14,12,12,11,0,0,0,0,0,15,0.8666666666666667,0.8,,14,1.3929548253056356
2021_2022,House,c. kipp,Cathy Kipp,D,HD-052,20159,legiscan_id,1.656569571881491,0.021584560690705943,0.021584560690705943,0.026422132421510723,0.02658742571160463,0.027445915402001936,16,16,16,16,16,1,1,1,1,1,15,15,15,15,15,0,0,0,0,0,16,1.0,1.0,,7,1.6545004724949472
2021_2022,House,y. caraveo,Yadira Caraveo,D,HD-031,20130,legiscan_id,0.49961993056067927,0.007618080243778568,0.007618080243778568,0.007771215418091389,0.00781983109164842,0.006457862447529867,5,5,4,4,3,1,1,1,1,1,4,4,3,3,2,0,0,0,0,0,5,0.8,0.6,,51,0.42646943252188035
2021_2022,House,e. hooton,Edith Hooton,D,HD-010,19209,legiscan_id,1.203370652299342,0.016505840528186898,0.016505840528186898,0.018650917003419334,0.01876759461995621,0.019373587342589604,12,12,11,11,11,1,1,1,1,1,11,11,10,10,10,0,0,0,0,0,12,0.9166666666666666,0.9166666666666666,,24,1.1732979518456237
2021_2022,House,a. boesenecker,Andrew Boesenecker,D,HD-053,22921,legiscan_id,0.7795621514736428,0.01015744032503809,0.01015744032503809,0.012433944668946224,0.012511729746637473,0.012915724895059735,5,5,5,5,5,3,3,3,3,3,2,2,2,2,2,0,0,0,0,0,5,1.0,1.0,,35,0.5170313976546711
2021_2022,House,c. larson,Colin Larson,R,HD-022,20135,legiscan_id,0.7548087390496202,0.013966480446927373,0.013966480446927373,0.009325458501709667,0.009383797309978105,0.009686793671294802,11,11,6,6,6,0,0,0,0,0,11,11,6,6,6,0,0,0,0,0,11,0.5454545454545454,0.5454545454545454,,39,0.7995820622123432
2021_2022,House,t. exum,Thomas Exum,D,HD-017,15133,legiscan_id,0.7795621514736428,0.01015744032503809,0.01015744032503809,0.012433944668946224,0.012511729746637473,0.012915724895059735,8,8,8,8,8,0,0,0,0,0,8,8,8,8,8,0,0,0,0,0,8,1.0,1.0,,35,0.8272502362474736
2021_2022,House,l. daugherty,Lindsey Daugherty,D,HD-029,22223,legiscan_id,1.2241975096198268,0.016505840528186898,0.016505840528186898,0.020205160087037613,0.01876759461995621,0.019373587342589604,13,13,13,12,12,0,0,0,0,0,13,13,13,12,12,0,0,0,0,0,13,0.9230769230769231,0.9230769230769231,,23,1.2989264535987803
